ds,yhat,yhat_lower,yhat_upper
2009-12-01,56635.924006225236,39999.623872530276,72235.96873332589
2009-12-02,54179.08558164741,38547.008224253696,70164.0774339308
2009-12-03,61297.037032822394,45471.37110199187,76548.16005763027
2009-12-04,51308.95349996847,35362.536620810795,67608.16033405604
2009-12-05,9868.929403476566,-7098.8897675576845,25872.85631124128
2009-12-06,40645.538443464444,24031.624555822007,56261.65453803844
2009-12-07,51124.717132268765,33252.16401593628,67454.27664185854
2009-12-08,52616.25983074216,34878.01384826644,68677.04576075934
2009-12-09,48487.59940497504,31676.7588618874,62816.03010549603
2009-12-10,53927.877878523585,38468.24516560558,69969.10004685227
2009-12-11,42291.453295484374,25981.461654240666,58730.95372554972
2009-12-13,28561.089351354283,11720.076253006124,44298.7161140697
2009-12-14,37690.35075323672,22272.162627163878,53747.1008212348
2009-12-15,37996.921607254204,21697.013488543565,53796.227861649895
2009-12-16,32876.48762714393,16456.125771783736,48939.297624093364
2009-12-17,37542.57853478444,21423.78656129372,53875.76880386379
2009-12-18,25369.40714351099,10128.348300661499,42295.68345116561
2009-12-20,11331.396858693957,-4768.485015468703,27231.977866649315
2009-12-21,20702.40886474759,5350.159810219834,37223.088821605605
2009-12-22,21513.024391442956,5842.192597682635,36828.12102590727
2009-12-23,17150.39791360631,508.73002662165004,32670.432938126254
2010-01-04,15539.33740575819,15.61041936110291,31534.6560988748
2010-01-05,19556.996780174828,3413.34394042089,35556.137990516196
2010-01-06,18267.822042208703,3359.0905330777323,33987.93456140976
2010-01-07,26809.24126522818,11208.492787539364,43092.315514004455
2010-01-08,18478.96985897962,2603.281017780691,33607.07205116292
2010-01-10,11732.224153055142,-3332.6488071596823,28354.758900008543
2010-01-11,24412.534972962236,8644.013650136632,40585.77336126391
2010-01-12,28225.11852812898,10842.579926704138,44036.9713924303
2010-01-13,26504.165610075746,11392.695487180597,43421.143016476584
2010-01-14,34404.85718898224,17834.958498694243,50216.47043067019
2010-01-15,25247.47046605531,8119.904963658322,40311.86065163694
2010-01-17,16397.70941135647,-512.5701300463584,32518.005137524946
2010-01-18,27865.0792872112,13046.611937875914,44054.69282354608
2010-01-19,30402.552303094566,14429.980364762061,44556.55189920642
2010-01-20,27379.66263175749,11127.999060416514,43447.76324798894
2010-01-21,33986.82745605288,18994.614938258703,50171.49864659978
2010-01-22,23578.539638555038,6984.325378352164,39580.91677139131
2010-01-24,12481.423137026377,-3493.3691569241178,27783.527221943237
2010-01-25,23008.11803596226,6255.212774789958,39076.15860630399
2010-01-26,24757.73961715257,8643.575083943797,40993.87931533103
2010-01-27,21117.338108501986,5668.599488982192,37165.957249574465
2010-01-28,27289.88240516217,10924.518706262359,43806.22990301514
2010-01-29,16637.210225821098,1641.104746567975,31680.318672915073
2010-01-31,5624.934694790072,-10525.819214837627,22955.41411279087
2010-02-01,16469.350153963827,158.7713499083049,34330.95921976286
2010-02-02,18704.4333737302,3643.8858050016506,33459.31247405087
2010-02-03,15699.910841769772,-353.73251711081184,31358.388981544595
2010-02-04,22637.69488292567,6655.882879515414,37928.30538259168
2010-02-05,12855.488661488753,-3803.0060797134524,28846.520279757227
2010-02-07,3792.3262487854336,-14016.465798465946,20304.70580094209
2010-02-08,15658.54043491321,577.575716894467,31676.262893401847
2010-02-09,18908.587316227036,3132.446578918404,35705.23868501913
2010-02-10,16884.33996627954,638.7476184694741,33113.33753238921
2010-02-11,24741.50218765452,8062.377895628447,40413.69557373189
2010-02-12,15793.92297136584,-689.2285941387842,31570.64865594688
2010-02-14,8065.80814314397,-7864.752089240867,25533.583396772305
2010-02-15,20401.697530892197,4225.402296713863,37330.76228215175
2010-02-16,23975.911920512735,7643.438325053167,39899.9372484545
2010-02-17,22123.582172884406,5772.529637649659,37167.828177213814
2010-02-18,30002.227453245046,14117.543913972122,46091.35565565592
2010-02-19,20929.881864432045,4520.851455705021,36174.58029081169
2010-02-21,12550.896710246787,-3851.6971998136237,27855.75751836262
2010-02-22,24388.639798849774,7907.7615754327235,40999.59943088177
2010-02-23,27373.414620499592,10756.604528740958,43270.398795618625
2010-02-24,24863.313330185705,8862.128826899348,40829.72222763221
2010-02-25,32036.393413365447,16429.129430300534,47738.77580884497
2010-02-26,22234.210601892042,6647.477296574036,38417.83348477297
2010-02-28,12417.248538094427,-3718.0145241069613,27963.625455448953
2010-03-01,23592.200191838398,7863.646101210896,39549.813843458825
2010-03-02,25979.270248878136,9796.210350022819,40799.4462259436
2010-03-03,22954.402574900996,8004.7277255428035,38474.9949197382
2010-03-04,29710.59338178006,14119.922507762345,44540.409236760795
2010-03-05,19601.013141685566,4309.321013872079,36062.761550345545
2010-03-07,9525.8444489875,-7053.581049461933,25919.430722853966
2010-03-08,20754.405213309237,6345.6149872783735,37483.48303399052
2010-03-09,23313.377160789838,6008.320886572181,40277.5904943267
2010-03-10,20571.399351649936,4888.466721981552,37775.36020952065
2010-03-11,27710.726983973072,10846.59220287239,43542.13373936626
2010-03-12,18070.721285675045,1848.9466163173138,34286.06001841463
2010-03-14,9126.253192625976,-6720.58183545526,24518.23809602235
2010-03-15,20977.450024773054,4214.276360944958,37770.105901359064
2010-03-16,24169.735379073893,7840.024899058059,39804.55751097832
2010-03-17,22050.689124229324,5834.2837157350805,38403.188449333575
2010-03-18,29781.949862096837,14321.585129223078,45153.28854843662
2010-03-19,20683.33837078196,3805.521203510567,36432.43944374521
2010-03-21,12600.785211203585,-2431.637850468961,28981.369635834526
2010-03-22,24743.881452803296,8888.024482344797,41333.119342704296
2010-03-23,28121.14272721443,12812.552867273984,45134.61833340131
2010-03-24,26073.617445472293,9835.782524761722,41381.82381681201
2010-03-25,33759.96494387167,16970.578392046904,48775.356539185676
2010-03-26,24500.65862890167,7639.119520465024,40880.74198940124
2010-03-28,15769.849185530958,309.6106746642283,31721.52477280739
2010-03-29,27444.035182983484,10810.093861574685,43361.25400514616
2010-03-30,30273.324563469294,13423.749912311256,45242.57138815661
2010-03-31,27615.03528472851,11482.961923487937,42467.31794084158
2010-04-01,34646.05386021652,19643.700043086308,50764.299978000505
2010-04-06,27916.68949407727,10997.482808049612,44135.541195843274
2010-04-07,24754.668075242895,8012.037085115765,40816.54056873099
2010-04-08,31370.43186715257,14633.14329907674,47373.239615437975
2010-04-09,21116.91347030071,5902.429724238593,37420.88278708151
2010-04-11,10744.899187343137,-5001.710169268459,25595.239141029135
2010-04-12,21822.647524642354,5174.762662635697,38034.55139003817
2010-04-13,24231.470017384996,9324.89146678962,39667.212233180166
2010-04-14,21342.291598502004,5454.6876616595755,37012.913561284564
2010-04-15,28340.058697368724,11032.645210527859,44053.28048771631
2010-04-16,18567.149298015698,3129.0961663233056,34170.80757533115
2010-04-18,9395.954684418464,-5577.168787630963,25562.745634894753
2010-04-19,21160.073689103727,5759.925382785048,37247.66817581886
2010-04-20,24287.19032623394,9019.55926874327,40711.356203875395
2010-04-21,22127.90751959908,6132.293552510294,37019.70189360264
2010-04-22,29846.530924715298,13420.700601388562,46002.99032116605
2010-04-23,20765.080915318693,4656.822291583044,36049.449975662304
2010-04-25,12812.120243204841,-4598.640838478257,29241.528762428654
2010-04-26,25068.880964264015,9034.299468770972,40213.956777761385
2010-04-27,28591.955328679902,12766.874047135807,45639.75239884815
2010-04-28,26721.078442293085,11218.506082534504,42733.633462141406
2010-04-29,34612.79437775456,19300.07662246863,51215.51713601029
2010-04-30,25584.678638616617,8315.520819819267,41794.22856995058
2010-05-02,17378.488598336255,790.8781776173901,33092.66137767734
2010-05-04,32457.9607572218,15804.509329099528,47761.47380855977
2010-05-05,30093.273567183256,13802.561752030253,45696.09103441989
2010-05-06,37413.71534244332,20693.53706121905,53205.20636617968
2010-05-07,27753.298749894813,12907.295509938005,43360.80724158414
2010-05-09,18172.628200168616,594.866547375297,33772.09540875371
2010-05-10,29427.536918754344,13444.318366508267,46436.75022228228
2010-05-11,31860.34209293394,16367.649968288077,48540.72407456735
2010-05-12,28841.476366164596,13511.893736129054,43699.653556739664
2010-05-13,35559.5140894039,19448.65803636247,51281.95618768104
2010-05-14,25364.453434945895,8266.756548986112,41874.98935267039
