Customer ID,Recency,Frequency,Monetary,Cluster,Segment
12346.0,325,12,77556.46,1,Loyal Customers
12347.0,1,8,5633.32,1,Loyal Customers
12348.0,74,5,2019.3999999999999,1,Loyal Customers
12349.0,18,4,4428.6900000000005,1,Loyal Customers
12350.0,309,1,334.40000000000003,0,Lost Customers
12351.0,374,1,300.93,0,Lost Customers
12352.0,35,10,2849.84,1,Loyal Customers
12353.0,203,2,406.76,1,Loyal Customers
12354.0,231,1,1079.4,1,Loyal Customers
12355.0,213,2,947.61,1,Loyal Customers
12356.0,22,6,6373.68,1,Loyal Customers
12357.0,32,3,18287.66,1,Loyal Customers
12358.0,1,5,3887.07,1,Loyal Customers
12359.0,57,10,8935.94,1,Loyal Customers
12360.0,51,8,4252.89,1,Loyal Customers
12361.0,286,4,511.25,0,Lost Customers
12362.0,2,11,5356.2300000000005,1,Loyal Customers
12363.0,109,2,552.0,1,Loyal Customers
12364.0,7,4,1313.1,1,Loyal Customers
12365.0,290,2,641.38,0,Lost Customers
12366.0,633,1,500.24,0,Lost Customers
12367.0,3,1,168.9,1,Loyal Customers
12368.0,627,1,917.7,0,Lost Customers
12369.0,412,3,1791.15,0,Lost Customers
12370.0,50,7,4320.31,1,Loyal Customers
12371.0,44,5,4067.38,1,Loyal Customers
12372.0,71,3,1298.04,1,Loyal Customers
12373.0,310,3,1127.65,0,Lost Customers
12374.0,24,4,2989.2200000000003,1,Loyal Customers
12375.0,10,2,457.5,1,Loyal Customers
12376.0,389,2,503.15,0,Lost Customers
12377.0,314,4,3426.32,0,Lost Customers
12378.0,129,2,5416.32,1,Loyal Customers
12379.0,81,4,1620.22,1,Loyal Customers
12380.0,21,11,9676.300000000001,1,Loyal Customers
12381.0,4,5,1845.31,1,Loyal Customers
12383.0,184,5,1850.56,1,Loyal Customers
12384.0,28,2,585.27,1,Loyal Customers
12385.0,378,1,1938.4,0,Lost Customers
12386.0,337,2,660.8000000000001,0,Lost Customers
12387.0,414,1,143.94,0,Lost Customers
12388.0,15,8,3901.11,1,Loyal Customers
12389.0,402,3,1433.33,0,Lost Customers
12390.0,79,1,549.84,1,Loyal Customers
